City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
25,Sasovo,RU,31.75,overcast clouds,54.3537,41.9199,Mini-gostinitsa
26,Sao Raimundo Nonato,BR,75.11,light rain,-9.0153,-42.6994,Real Hotel
28,Mar Del Plata,AR,70.88,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
30,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
32,Port Elizabeth,ZA,69.1,light rain,-33.918,25.5701,39 On Nile Guest House
34,Beringovskiy,RU,3.51,few clouds,63.05,179.3167,Beringgorski
35,Butaritari,KI,82.26,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
36,Hami,CN,24.12,overcast clouds,42.8,93.45,Laoyutang Resort
37,Rocha,UY,72.59,clear sky,-34.4833,-54.3333,Hotel Arrarte
38,Porto Novo,BJ,81.18,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
39,Ribeira Grande,PT,55.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
41,Punta Arenas,CL,62.71,few clouds,-53.15,-70.9167,Hotel Hain
42,Aswan,EG,64.92,overcast clouds,24.0934,32.907,Nuba Nile
43,Tasiilaq,GL,41.16,overcast clouds,65.6145,-37.6368,The Red House
44,Mitsamiouli,KM,83.34,overcast clouds,-11.3847,43.2844,Foyer ADM
45,Port Blair,IN,78.31,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
46,Atar,MR,64.6,broken clouds,20.5169,-13.0499,Oumou Elghoura
47,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
48,Black Forest,US,33.84,few clouds,39.0131,-104.7008,Datt Properties
50,New Norfolk,AU,66.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
51,Mecca,SA,72.09,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
53,Alofi,NU,80.49,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
54,Eyl,SO,77.02,overcast clouds,7.9803,49.8164,Amiin Hotel
56,Diamantino,BR,80.49,scattered clouds,-14.4086,-56.4461,Hotel Delta
58,Los Llanos De Aridane,ES,60.12,scattered clouds,28.6585,-17.9182,Valle Aridane
59,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Kaitangata,NZ,58.93,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
64,Phalombe,MW,68.67,light rain,-15.8064,35.6507,RIVONIA
65,Nouakchott,MR,75.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
66,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Jamestown,US,25.92,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Axim,GH,80.55,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
71,East London,ZA,70.88,overcast clouds,-33.0153,27.9116,Tu Casa
73,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
74,Paamiut,GL,10.92,overcast clouds,61.994,-49.6678,Pistut
76,Torbay,CA,49.26,moderate rain,47.6666,-52.7314,Gallows Cove
77,Hukuntsi,BW,79.61,scattered clouds,-24.0,21.75,Entabeni Hotel
78,Gizo,SB,80.92,light rain,-8.103,156.8419,Imagination Island
79,Busselton,AU,63.05,clear sky,-33.65,115.3333,Observatory Guest House
80,Viedma,AR,96.31,clear sky,-40.8135,-62.9967,Hotel Cristal
81,Hobart,AU,67.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
82,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
83,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
84,Khash,IR,40.55,few clouds,28.2211,61.2158,خوابگاه آبجی محدثه
85,Port Hardy,CA,44.76,light rain,50.6996,-127.4199,Airport Inn
86,Kavieng,PG,82.45,light rain,-2.5744,150.7967,Nusa Island Retreat
87,Lompoc,US,77.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
89,Ulladulla,AU,71.76,light rain,-35.35,150.4667,Sandpiper Motel
90,Kargat,RU,6.94,overcast clouds,55.1956,80.2811,Kargat
91,Itarema,BR,80.4,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
92,Majene,ID,77.63,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
94,Port-Gentil,GA,80.51,broken clouds,-0.7193,8.7815,Fengshui Residence
95,Ancud,CL,79.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
96,San Miguel,SV,93.56,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
97,Severo-Kurilsk,RU,30.58,light snow,50.6789,156.125,Kak Doma
99,Kirakira,SB,81.52,overcast clouds,-10.4544,161.9205,SanBiz Lodge
100,Nouadhibou,MR,64.44,broken clouds,20.931,-17.0347,El Medina
102,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
103,Maragogi,BR,79.84,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
104,Eureka,US,63.19,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
105,Ranong,TH,71.98,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
107,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
109,Chato,TZ,67.82,broken clouds,-2.6378,31.7669,Morning Star Inn
110,Khani,GE,31.57,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
111,Hasaki,JP,27.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
112,Vilcun,CL,70.54,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
113,Faanui,PF,81.63,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
114,Luau,AO,66.56,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
115,Qaanaaq,GL,1.78,broken clouds,77.484,-69.3632,Qaanaaq Hotel
116,Nanortalik,GL,22.12,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
117,Gravdal,NO,24.69,clear sky,68.1214,13.5031,Skreda Rorbusuiter
118,Kyshtovka,RU,6.4,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
119,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
121,Diffa,NE,71.78,broken clouds,13.3154,12.6113,ProDAF/Diffa
123,Ucluelet,CA,34.05,light snow,48.9329,-125.5528,Black Rock Oceanfront Resort
124,Santa Isabel Do Rio Negro,BR,88.38,overcast clouds,-0.4139,-65.0192,Hotel GSA
125,Bilibino,RU,8.67,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
126,Saint George,US,64.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
127,Lebu,CL,61.52,clear sky,-37.6167,-73.65,Hostal Las Lilas
128,Mayo,US,42.42,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
130,Imatra,FI,17.13,broken clouds,61.1719,28.7524,Imatran Kylpylä Spa
131,Hermanus,ZA,65.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
132,Carmen,MX,84.24,few clouds,18.6333,-91.8333,Hotel Lossandes
133,Kapit,MY,72.27,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
134,San Marcos,US,80.83,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
135,Hithadhoo,MV,81.45,overcast clouds,-0.6,73.0833,Scoop Guest House
136,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
137,Bethel,US,37.56,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
138,Yarada,IN,68.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
140,Codrington,AU,63.27,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
141,Tadpatri,IN,68.11,clear sky,14.9167,78.0167,Hotel Sri Ranga Lodge
142,Kruisfontein,ZA,66.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
143,Jardim,BR,85.01,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
144,Vytegra,RU,12.6,overcast clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
146,Xiuyan,CN,18.46,clear sky,40.2928,123.2744,Helin Holiday Hotel
148,Sur,OM,70.61,few clouds,22.5667,59.5289,Sur Plaza Hotel
150,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
151,Tura,IN,57.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
153,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
155,Yiyang,CN,41.16,overcast clouds,28.5892,112.3283,Tongcheng International Hotel
156,Goderich,CA,22.21,light snow,43.7501,-81.7165,Harmony Inn
157,Motril,ES,55.54,broken clouds,36.7507,-3.5179,Hostal Tropical
158,Carutapera,BR,78.06,overcast clouds,-1.195,-46.02,Lidera
159,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
160,Burlington,US,39.52,clear sky,39.8835,-74.6413,Delanco Camp
161,Capoterra,IT,47.53,scattered clouds,39.1763,8.9718,Ariedo Bed And Breakfast
163,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
164,Gualdo Tadino,IT,40.86,overcast clouds,43.2317,12.781,Hotel GG8
165,Masumbwe,TZ,64.47,scattered clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
167,Oskemen,KZ,13.93,overcast clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
168,San Cosme Y Damian,PY,89.78,clear sky,-27.3167,-56.35,Posada Turística Aguapey
169,Nchelenge,ZM,71.26,light rain,-9.3451,28.734,KD Travellers Home
170,Miyako,JP,30.16,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
171,Guerrero Negro,MX,71.11,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
172,Umba,RU,16.2,overcast clouds,66.6871,34.3429,Cedar Grass Beloye More
173,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,Austral Hotel
174,Auki,SB,79.52,broken clouds,-8.7676,160.7034,Auki Motel
175,Castro,BR,66.87,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
176,Unai,BR,76.1,moderate rain,-16.3575,-46.9061,Hotel Regente
177,Kloulklubed,PW,82.33,broken clouds,7.0419,134.2556,Storyboard Beach Resort
178,Lorengau,PG,81.63,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
179,Victoria,HK,66.18,broken clouds,22.2855,114.1577,Mini Hotel Central
180,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
182,Humberto De Campos,BR,79.12,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
183,Fairview,US,38.77,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
184,Vila Franca Do Campo,PT,57.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
186,Iwaki,JP,37.02,few clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
187,Esso,RU,9.12,overcast clouds,55.9333,158.7,Paramushir Tur
189,Calabozo,VE,92.53,scattered clouds,8.9242,-67.4293,Hotel Giardini
190,Cidreira,BR,71.74,scattered clouds,-30.1811,-50.2056,Hotel Castelo
191,Hobyo,SO,78.12,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
192,Inhambane,MZ,78.28,scattered clouds,-23.865,35.3833,Oceano
194,Luocheng,CN,49.32,overcast clouds,29.3848,104.0286,Luocheng Hotel
197,Ajdabiya,LY,58.03,clear sky,30.7554,20.2263,Almadina Hotel
198,Aljezur,PT,51.84,few clouds,37.3191,-8.8033,Amazigh Hostel
200,Oktyabrskiy,RU,32.13,light snow,54.4815,53.471,Гостиница Октябрьская
201,Ojinaga,MX,75.58,clear sky,29.5667,-104.4167,Suites Las Palmas
202,Ternate,ID,78.93,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
203,Anshun,CN,39.96,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
204,Esperance,AU,58.08,clear sky,-33.8667,121.9,Hospitality Esperance
205,Brae,GB,44.51,overcast clouds,60.3964,-1.353,Busta House Hotel
206,Kikwit,CD,73.11,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
207,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
209,Sitka,US,24.69,clear sky,57.0531,-135.33,Westmark Sitka
211,Galveston,US,73.99,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
213,Fenoarivo Atsinanana,MG,74.82,light rain,-17.3667,49.4167,L'Oasis Lodge
214,Kemptville,CA,28.94,overcast clouds,45.0168,-75.641,Kemptville Suites by Rob Thompson Hotels
215,Tungi,BD,68.0,haze,23.89,90.4058,Grand Dhaka Hotel
216,Maniitsoq,GL,19.4,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
217,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
218,Klaksvik,FO,40.12,overcast clouds,62.2266,-6.589,Airbnb rooms
219,Soto La Marina,MX,82.78,clear sky,23.7667,-98.2167,Hotel Chicago
220,Punta Gorda,US,77.05,broken clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
222,Necochea,AR,81.84,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
223,Nuuk,GL,20.88,overcast clouds,64.1835,-51.7216,Vandrehuset
224,Rio Gallegos,AR,75.25,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
226,Bodinayakkanur,IN,71.4,overcast clouds,10.0167,77.35,M.V. Lodge
227,Beyneu,KZ,34.7,broken clouds,45.3167,55.2,NUR
228,Basco,PH,75.02,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
231,Isangel,VU,86.11,few clouds,-19.55,169.2667,Tanna Lodge
232,Kathu,TH,75.02,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
233,Abha,SA,52.05,clear sky,18.2164,42.5053,Abha Hotel
234,Alugan,PH,77.58,overcast clouds,12.2188,125.4808,JM Lodge
235,Esil,KZ,26.38,overcast clouds,51.9556,66.4042,Egorkino Hotel
236,Duldurga,RU,0.28,overcast clouds,50.6761,113.5931,Golden Dragon
237,Narasannapeta,IN,66.97,scattered clouds,18.4167,84.05,G.lingaraju home
238,Kutum,SD,64.81,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
239,Pauini,BR,81.72,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
240,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
241,Sinnamary,GF,76.89,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
242,Astoria,US,52.02,moderate rain,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
245,Hofn,IS,40.59,overcast clouds,64.2539,-15.2082,Hótel Höfn
246,Santa Cruz,BO,93.25,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
248,Ponta Do Sol,PT,64.0,scattered clouds,32.6667,-17.1,Hotel do Campo
249,Atambua,ID,74.17,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
250,Komsomolskiy,UZ,39.92,mist,40.4272,71.7189,Ikathouse
251,Meulaboh,ID,76.23,overcast clouds,4.1363,96.1285,Kost Pria
252,Taian,CN,31.95,few clouds,36.1853,117.12,Taishan International Youth Hostel
253,Kattivakkam,IN,78.08,broken clouds,13.2167,80.3167,Euronova Freezer
254,Northam,GB,44.56,overcast clouds,51.0333,-4.2167,Durrant House Hotel
255,Arawa,PG,77.61,light rain,-6.2132,155.5367,Coastline Guest House
256,Wanaka,NZ,58.1,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
257,Moron,AR,83.95,clear sky,-34.6534,-58.6198,Hotel Morón
258,Nikolskoye,RU,19.29,scattered clouds,59.7035,30.7861,Tourist House - Sablino
259,Longyearbyen,SJ,19.24,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
260,Diphu,IN,54.07,clear sky,25.8333,93.4333,Hotel Kamakhya
263,Konstantinovsk,RU,48.38,overcast clouds,47.5828,41.0922,Holiday Park Starodonye
264,Fairhope,US,75.15,scattered clouds,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
265,Romitan,UZ,35.55,overcast clouds,39.9343,64.3814,Hotel Temur
267,Mehamn,NO,28.31,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
270,Manjo,CM,74.93,overcast clouds,4.8428,9.8217,Hôtel la Grace
271,Haysville,US,14.4,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
272,Chiriguana,CO,94.59,broken clouds,9.3624,-73.6031,Zapatosa Red Turística
273,Iquitos,PE,93.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
274,Hun,LY,57.78,clear sky,29.1268,15.9477,Alrwasi Hotel
275,Ust-Kut,RU,16.11,light snow,56.7938,105.7672,Otel Flagman
276,Juneau,US,12.2,clear sky,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
277,Hede,CN,34.7,overcast clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
278,Bam,IR,43.57,clear sky,29.106,58.357,Bam Tourist Hotel
279,Grindavik,IS,37.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
280,Bandarbeyla,SO,77.61,scattered clouds,9.4942,50.8122,JABIR HOTEL
281,Kropotkin,RU,49.46,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
282,Vao,NC,77.2,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
283,Kaihua,CN,49.57,few clouds,23.3687,104.28,Zhongyu Hotel
284,Banda Aceh,ID,77.74,overcast clouds,5.5577,95.3222,Sulthan Hotel International
285,Camacha,PT,60.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
286,Rio Branco,BR,75.81,broken clouds,-9.9747,-67.81,Inácio Palace Hotel
287,Mocuba,MZ,72.75,overcast clouds,-16.8392,36.9856,Phama Lodge
288,Kambove,CD,61.88,overcast clouds,-10.8764,26.5969,Couvant des soeurs catholiques
289,Half Moon Bay,US,64.89,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
291,Am Timan,TD,78.4,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
292,Bilma,NE,66.72,clear sky,18.6853,12.9164,Expeditions Ténére voyages
293,Nakatsu,JP,41.04,broken clouds,33.5981,131.1883,Toyoko Inn Oita Nakatsu Ekimae
294,Lagoa,PT,56.62,overcast clouds,39.05,-27.9833,Casa Das Faias
295,San Patricio,US,83.08,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
296,Dobsice,CZ,31.39,clear sky,48.8483,16.0822,Hotel Morava
297,Machali,CL,83.48,clear sky,-34.1833,-70.6667,Mining House
298,Pryyutivka,UA,37.38,overcast clouds,48.7209,33.0708,"Многоквартирный Дом по адресу: Войновское шосе 12,"
300,Belyy Yar,RU,4.89,smoke,53.6039,91.3903,Pasportnyy Stol
301,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
303,Waddan,LY,56.66,clear sky,29.1614,16.139,محل الشريف محمد العايب
304,Pascagoula,US,75.42,few clouds,30.3658,-88.5561,Regency Inn
305,Leeton,AU,69.85,thunderstorm,-34.5667,146.4,Historic Hydro Motor Inn
306,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
